name,12/31/2024,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
TotalAssets,"772,907,000","797,876,000","877,131,000","953,823,000","921,877,000","1,085,907,000","1,341,647,000","1,389,164,000","1,448,649,000","1,670,035,000","2,444,724,000","1,991,856,000","1,764,672,000","1,665,649,000","1,664,036,000","1,523,590,000","1,301,340,000","1,320,031,000","939,493,000","684,996,000","599,926,000","531,676,000","392,719,000","88,224,000"
	CurrentAssets,"63,874,000","55,293,000","83,614,000","162,781,000","117,192,000","132,084,000","242,543,000","91,396,000","105,386,000","121,129,000","136,118,000","135,607,000","196,195,000","256,815,000","130,526,000","115,047,000","124,096,000","94,238,000","90,833,000","70,476,000","57,972,000","36,496,000","17,307,000",
		CashCashEquivalentsAndShortTermInvestments,"30,444,000","11,989,000","39,091,000","135,520,000","99,790,000","98,265,000","101,839,000","26,980,000","40,371,000","41,204,000","50,076,000","92,513,000","149,424,000","214,922,000","95,506,000","82,634,000","89,928,000","58,341,000","66,044,000","47,691,000","42,103,000","24,320,000","7,753,000",
			CashAndCashEquivalents,"30,444,000","11,989,000","39,091,000","135,520,000","99,790,000","98,265,000","101,839,000","26,980,000","40,371,000","41,204,000","50,076,000","92,513,000","149,424,000","214,922,000","95,506,000","82,634,000","89,928,000","58,341,000","66,044,000","47,691,000","42,103,000","24,320,000","7,753,000",
		Receivables,"31,469,000","41,086,000","42,701,000","24,538,000","12,322,000","30,869,000","32,058,000","24,211,000","49,860,000","49,978,000","75,949,000","41,403,000","45,729,000","41,061,000","34,110,000","31,483,000","33,234,000","28,648,000","23,378,000","21,952,000","15,083,000","10,990,000","9,043,000",
			AccountsReceivable,"31,469,000","41,086,000","42,701,000","24,538,000","12,322,000","30,869,000","32,058,000","24,211,000","49,860,000","49,978,000","75,949,000","41,403,000","45,729,000","41,061,000","34,110,000","31,483,000","33,234,000","28,648,000","23,378,000","21,952,000","15,083,000","9,553,000","7,593,000",
				GrossAccountsReceivable,"36,169,000","46,486,000","47,201,000","27,738,000","14,022,000","31,269,000","36,858,000","29,011,000","54,460,000","55,278,000","76,649,000","41,678,000","46,440,000","41,454,000",,"31,855,000","33,600,000",,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-4,700,000","-5,400,000","-4,500,000","-3,200,000","-1,700,000","-400,000","-4,800,000","-4,800,000","-4,600,000","-5,300,000","-700,000","-275,000","-711,000","-393,000",,"-372,000","-366,000",,,,,,,
			OtherReceivables,,,,,,,,"0","0","0","0","0","0",,"0","0","0","0","0","0","0","1,437,000","1,450,000",
			DuefromRelatedPartiesCurrent,,,,,,,,"161,000","6,658,000","6,864,000",,"7,666,000",,,,,,,,,,,,
		Inventory,,,,,,,,"7,553,000","6,893,000","7,835,000","5,814,000","0",,,,,,,,,,,,
			RawMaterials,,,,,,,,"1,344,000","856,000","779,000","1,218,000",,,,,,,,,,,,,
			FinishedGoods,,,,,,,,"6,209,000","6,037,000","7,056,000","4,596,000",,,,,,,,,,,,,
			OtherInventories,,,,,,,,"6,209,000","6,037,000","7,056,000",,,,,,,,,,,,,,
		PrepaidAssets,,,,,,"1,244,000","3,462,000","3,782,000","7,271,000","4,268,000","4,279,000",,,,,,,,,,,,,
		RestrictedCash,,,,,,"0","104,191,000","0",,,,,,,,,"0","6,240,000",,,,,,
		AssetsHeldForSaleCurrent,,,,,"0","1,706,000","993,000","36,423,000","991,000","17,844,000",,,,,,,,,,,,,,
		OtherCurrentAssets,"1,961,000","2,218,000","1,822,000","2,723,000","5,080,000","1,244,000",,"991,000","991,000","0","4,279,000","1,691,000","1,042,000","832,000","910,000","930,000","934,000","1,009,000","1,411,000","833,000","786,000","1,186,000","511,000",
	TotalNonCurrentAssets,"709,033,000","742,583,000","793,517,000","791,042,000","804,685,000","953,823,000","1,099,104,000","1,297,768,000","1,343,263,000","1,548,906,000","2,308,606,000","1,856,249,000","1,568,477,000","1,408,834,000","1,533,510,000","1,408,543,000","1,177,244,000","1,225,793,000","848,660,000","614,520,000","541,954,000","495,180,000","375,412,000",
		NetPPE,"403,646,000","418,491,000","436,320,000","461,705,000","484,381,000","629,104,000","767,120,000","803,775,000","982,887,000","1,070,219,000","1,867,188,000","1,456,230,000","1,437,214,000","1,328,220,000","1,368,527,000","88,694,000","1,071,239,000","1,115,872,000","47,396,000","5,924,000","537,565,000","489,025,000","374,187,000",
			GrossPPE,"719,121,000","719,416,000","719,979,000","728,910,000","844,178,000","1,072,397,000","1,239,326,000","1,264,482,000","1,479,999,000","1,547,576,000","2,443,930,000","1,974,531,000","1,895,034,000","1,737,238,000","1,394,364,000","106,209,000","1,354,378,000","1,338,153,000","48,047,000","6,019,000","648,681,000","572,751,000","433,430,000",
