name,ttm,12/31/2024,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
TotalRevenue,"229,909,000","245,027,000","293,656,000","328,085,000","194,248,000","129,011,000","210,348,000","202,765,000","202,323,000","210,115,000","382,830,000","308,116,000","323,931,000","379,147,000","377,683,000","301,401,000","256,084,000","291,665,000","214,985,000","170,673,000","159,053,000","121,432,000","85,466,000","13,893,000","25,970,000"
	OperatingRevenue,"229,909,000","245,027,000","293,656,000","328,085,000","194,248,000","129,011,000","210,348,000","202,765,000","202,323,000","210,115,000","382,830,000","308,116,000","323,931,000","362,437,000","353,806,000","283,336,000","256,084,000","276,292,000","198,260,000","153,962,000","152,537,000","116,083,000","85,466,000","13,893,000","25,970,000"
	ExciseTaxes,,,,,,,,,,,,"-13,609,000","-15,416,000","-15,273,000","-12,640,000","-11,270,000","-11,636,000","-9,800,000","-10,285,000","-5,971,000",,,,,
CostOfRevenue,,,"18,489,000","22,519,000","19,075,000","9,198,000","14,932,000","21,689,000","23,414,000","31,766,000","60,916,000","47,032,000","3,486,000","3,801,000","3,055,000","3,362,000","2,388,000","2,924,000","1,634,000","31,255,000","3,392,000","2,045,000","1,299,000","397,000",
GrossProfit,,,"275,167,000","305,566,000","175,173,000","119,813,000","195,416,000","181,076,000","178,909,000","178,349,000","321,914,000","311,304,000","320,445,000","375,346,000","374,628,000","298,039,000","253,696,000","288,741,000","213,351,000","139,418,000","155,661,000","119,387,000","84,167,000","13,496,000",
OperatingExpense,"69,605,000","68,722,000","76,915,000","79,274,000","63,484,000","48,286,000","64,400,000","67,694,000","66,799,000","82,226,000","225,530,000","148,569,000","121,147,000","105,613,000","109,157,000","101,978,000","99,721,000","91,734,000","85,052,000","23,642,000","54,191,000","48,415,000","40,098,000","6,881,000","5,807,000"
	OperationAndMaintenance,,,"32,315,000","34,903,000","27,049,000","24,795,000","32,738,000","11,615,000","9,534,000","9,153,000","15,323,000","10,197,000","8,821,000",,,,,,,,,,,,
	SellingGeneralAndAdministration,"25,656,000","25,151,000","26,111,000","21,852,000","17,360,000","14,293,000","16,730,000","16,496,000","18,502,000","20,570,000","12,348,000","10,545,000","14,738,000","29,714,000","29,553,000","29,893,000","24,713,000","13,922,000","20,048,000","15,520,000","12,319,000","11,503,000","8,923,000","1,059,000","2,981,000"
		GeneralAndAdministrativeExpense,"25,656,000","25,151,000","26,111,000","21,852,000","17,360,000","14,293,000","16,730,000","16,496,000","18,502,000","20,570,000","12,348,000","10,545,000","14,738,000","29,714,000","29,553,000","29,893,000","23,102,000","13,922,000","20,048,000","15,520,000",,,,,
			OtherGandA,"25,656,000","25,151,000","26,111,000","21,852,000","17,360,000","14,293,000","16,730,000","16,496,000","18,502,000","20,570,000","12,348,000","10,545,000","14,738,000","29,714,000","29,553,000","29,893,000","23,102,000","13,922,000","20,048,000","15,520,000",,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,"1,604,000","1,644,000","1,944,000",,"1,864,000","1,611,000","1,416,000",,"0",,,,,
	DepreciationAmortizationDepletionIncomeStatement,"14,870,000","15,535,000","18,489,000","22,519,000","19,075,000","9,198,000","14,932,000","21,689,000","23,414,000","31,766,000","60,916,000","61,894,000","64,377,000","58,221,000","65,118,000","56,978,000","60,012,000","64,254,000","51,391,000","29,695,000","33,730,000","30,077,000","25,365,000","4,526,000","1,369,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,"21,689,000","35,993,000","31,766,000","60,916,000","61,894,000",,,,,,,"51,391,000","29,695,000","33,730,000","30,077,000","25,365,000","4,526,000",
			Amortization,,,,,,,,"0","1,008,000","3,185,000",,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,"0","1,008,000","3,185,000",,,,,,,,,,,,,,,
	OtherTaxes,,,,,,,,,,,,"21,279,000","16,463,000","17,678,000","14,486,000","15,107,000","14,996,000","13,558,000","13,613,000","8,122,000",,,,,
	OtherOperatingExpenses,"29,079,000","28,036,000","32,315,000","34,903,000","27,049,000","24,795,000","32,738,000","29,509,000","24,883,000","20,737,000","136,943,000","65,933,000","33,211,000","1,944,000",,,"1,611,000",,"13,613,000","8,122,000","8,142,000","6,835,000","5,810,000","1,296,000","1,457,000"
OperatingIncome,"160,304,000","176,305,000","216,741,000","248,811,000","130,764,000","80,725,000","145,948,000","135,071,000","135,524,000","127,889,000","157,300,000","159,547,000","202,784,000","269,733,000","265,471,000","196,061,000","153,975,000","197,007,000","128,299,000","115,776,000","101,470,000","70,972,000","44,069,000","6,615,000","20,163,000"
NetNonOperatingInterestIncomeExpense,"-14,735,000","-15,554,000","-14,103,000","-26,274,000","-38,876,000","-40,968,000","-47,453,000","-70,178,000","-82,028,000","-90,531,000","-89,744,000","-79,427,000","-64,158,000","-53,810,000","-49,111,000","-41,600,000","-39,895,000","-27,001,000","-25,800,000","-13,686,000",,,,,
	InterestIncomeNonOperating,,,,,,,,,"181,000","39,000","18,000","96,000","238,000","162,000","69,000","35,000","213,000","1,355,000","2,890,000","2,737,000",,,,,
	InterestExpenseNonOperating,"14,735,000","15,554,000","14,103,000","26,274,000","38,876,000","40,968,000","47,453,000","70,178,000","82,028,000","90,531,000","89,762,000","79,523,000","64,396,000","53,972,000","49,180,000","41,635,000","40,108,000","28,356,000","28,690,000","16,423,000",,,,,
	TotalOtherFinanceCost,,,,,,,"47,453,000","70,178,000","82,028,000",,,,,,,,,,,,,,,,
OtherIncomeExpense,"22,115,000","22,893,000","75,797,000","45,955,000","17,014,000","-124,576,000","-123,909,000","57,467,000","28,989,000","53,268,000","-327,727,000","16,593,000","33,452,000","-2,568,000","-161,336,000",,,,,,,"-1,135,000","-554,000","216,000",
	EarningsFromEquityInterest,"17,295,000","18,135,000","73,397,000","59,795,000","21,871,000","10,728,000","47,089,000","48,306,000","40,457,000","40,061,000","49,918,000","41,416,000","34,186,000","0","0",,,,,,,,,,
	SecuritiesAmortization,,,,,,,,,,"3,185,000",,,,,,,,,,,,,,,
	SpecialIncomeCharges,"4,820,000","4,758,000","2,400,000","-13,840,000","-4,857,000","-135,304,000","-170,998,000","9,161,000","-11,468,000","13,207,000","-377,645,000","-24,823,000","-734,000","-2,568,000","-161,336,000","0",,,,,,"-1,135,000","-554,000","216,000",
		ImpairmentOfCapitalAssets,,,,"4,457,000","5,102,000","135,885,000","148,214,000","18,280,000","2,967,000","15,861,000","384,545,000","26,209,000","734,000","2,568,000","161,336,000","0",,,,,,,,,
		WriteOff,"107,000","87,000","556,000","4,457,000","5,102,000","135,885,000","148,214,000","18,280,000","2,967,000","15,861,000","384,545,000","26,209,000","734,000","2,568,000","161,336,000","0",,,,,,,,,
		OtherSpecialCharges,,,,"10,465,000",,,"29,282,000","-25,000,000","12,046,000","0","0","0","0","0",,,,,,,,,,,
		GainOnSaleOfPPE,"4,927,000","4,845,000","2,956,000","1,082,000","245,000","581,000","6,498,000","2,441,000","3,545,000","29,068,000","6,900,000","1,386,000",,,,,,,,,,,,,
PretaxIncome,"167,684,000","183,644,000","278,435,000","268,492,000","108,902,000","-84,819,000","-25,414,000","122,360,000","82,485,000","90,626,000","-260,171,000","96,713,000","172,078,000","213,355,000","55,024,000","154,461,000","114,080,000","170,006,000","102,499,000","102,090,000",,,,,
NetIncomeCommonStockholders,"138,279,000","151,813,000","196,771,000","233,722,000","75,747,000","-112,743,000","-53,369,000","107,346,000","61,950,000","95,229,000","-559,492,000","106,653,000","168,636,000","209,088,000","52,945,000","125,925,000","78,954,000","127,490,000","72,931,000","102,090,000","91,839,000","58,994,000","36,907,000","6,415,000","14,543,000"
	NetIncome,"167,684,000","183,644,000","278,435,000","268,492,000","108,902,000","-84,819,000","-24,458,000","139,537,000","88,667,000","96,892,000","-571,720,000","108,830,000","172,078,000","213,355,000","54,026,000","128,495,000","114,080,000","130,092,000","74,420,000","102,090,000","91,839,000","58,994,000","36,907,000","6,415,000","14,543,000"
		NetIncomeIncludingNoncontrollingInterests,"167,684,000","183,644,000","278,435,000","268,492,000","108,902,000","-84,819,000","-24,458,000","140,047,000","88,667,000","96,892,000","-571,720,000","108,830,000","172,078,000","213,355,000","55,024,000","154,461,000","114,080,000","170,006,000","102,499,000","102,090,000","91,839,000","58,994,000","36,907,000","6,415,000","14,543,000"
			NetIncomeContinuousOperations,"167,684,000","183,644,000","278,435,000","268,492,000","108,902,000","-84,819,000","-25,414,000","122,360,000","82,485,000","90,626,000","-260,171,000","96,713,000","172,078,000","213,355,000","55,024,000","154,461,000","114,080,000","170,006,000","102,499,000","102,090,000","91,839,000","58,994,000","36,907,000","6,415,000","14,543,000"
			NetIncomeDiscontinuousOperations,,,,,"0","0","956,000","17,687,000","6,182,000","6,266,000","-311,549,000","12,117,000",,,,,,,,,,,,,
		MinorityInterests,,,,,,"0","0","-510,000","0","0",,"0","0","0","-998,000","0","0",,,,,,,,
	PreferredStockDividends,"29,405,000","31,831,000","81,664,000","34,770,000","33,155,000","27,924,000","28,911,000","32,191,000","26,717,000","1,663,000","-12,228,000","2,177,000","3,442,000","4,267,000","1,081,000","2,570,000","35,126,000","2,602,000","1,489,000",,,,,,
	OtherunderPreferredStockDividend,,,,,,,,,,,,,,,"-998,000",,,,,,,,,,
AverageDilutionEarnings,"29,400,000","3,038,000","13,745,000","29,400,000","30,977,000","0",,"29,400,000","24,944,000","0","0",,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"139,210,000","154,851,000","210,516,000","263,122,000","106,724,000","-112,743,000","-53,369,000","107,346,000","86,894,000","95,229,000","-559,492,000","106,653,000","168,636,000","209,088,000","52,945,000","125,925,000","78,954,000","127,490,000","72,931,000","102,090,000","91,839,000","58,994,000","36,907,000","6,415,000","14,543,000"
BasicEPS,"10.57","11.69","15.59","18.72","6.14","-9.2","-4.35","8.77","5.06","7.78","-45.75","9.4","15.4","19.7","5","15.4","11.7","19.5","11.1","17.4","16.95","11.45","7.95","1.4","3.202"
DilutedEPS,"10.49","11.35","13.08","13.39","4.81","-9.2","-4.35","6.76","3.96","7.78","-45.75","9.4","15.4","19.7","5","15.4","11.7","19.5","11.1","17.4","16.95","11.45","7.95","1.4","3.202"
BasicAverageShares,"13,057,500","12,991,000","12,619,000","12,485,150","12,336,645","12,254,674","12,268,736","12,240,137","12,243,083","12,232,000","12,230,000","11,326,200","10,958,400","10,602,800","10,602,800","8,191,700","6,770,200","6,489,100","6,450,500","5,068,200","2,869,000","2,689,400","2,270,800","2,270,800","4,541,463"
DilutedAverageShares,"13,374,750","13,647,000","16,096,000","12,485,150","15,747,817","12,254,674","12,268,736","15,879,586","15,643,939","12,232,000","12,230,000","11,326,200","10,958,400","10,602,800","10,602,800","8,191,700","6,770,200","6,489,100","6,450,500","5,068,200","2,869,000","2,689,400","2,270,800","2,270,800","4,541,463"
TotalOperatingIncomeAsReported,"182,419,000","199,198,000","292,538,000","305,231,000","147,778,000","-43,851,000","51,321,000","192,538,000","176,559,000","181,157,000","-170,427,000","176,140,000","236,236,000","267,165,000","104,135,000","196,061,000","153,975,000","197,007,000","128,299,000","115,776,000","101,470,000","70,972,000","44,069,000","6,615,000","20,163,000"
TotalExpenses,"69,605,000","68,722,000","76,915,000","79,274,000","63,484,000","48,286,000","64,400,000","67,694,000","66,799,000","82,226,000","225,530,000","148,569,000","121,147,000","109,414,000","112,212,000","105,340,000","102,109,000","94,658,000","86,686,000","54,897,000","57,583,000","50,460,000","41,397,000","7,278,000","5,807,000"
InterestIncome,,,,,,,,,"181,000","39,000","18,000","96,000","238,000","162,000","69,000","35,000","213,000","1,355,000","2,890,000","2,737,000","1,413,000","349,000","206,000",,"270,000"
InterestExpense,"14,735,000","15,554,000","14,103,000","26,274,000","38,876,000","40,968,000","47,453,000","70,178,000","82,028,000","90,531,000","89,762,000","79,523,000","64,396,000","53,972,000","49,180,000","41,635,000","40,108,000","28,356,000","28,690,000","16,423,000","11,044,000","10,312,000","6,814,000","200,000","3,966,000"
NetInterestIncome,"-14,735,000","-15,554,000","-14,103,000","-26,274,000","-38,876,000","-40,968,000","-47,453,000","-70,178,000","-82,028,000","-90,531,000","-89,744,000","-79,427,000","-64,158,000","-53,810,000","-49,111,000","-41,600,000","-39,895,000","-27,001,000","-25,800,000","-13,686,000","-9,631,000","-9,963,000","-6,608,000","-200,000",
NetIncomeFromContinuingAndDiscontinuedOperation,"167,684,000","183,644,000","278,435,000","268,492,000","108,902,000","-84,819,000","-24,458,000","139,537,000","88,667,000","96,892,000","-571,720,000","108,830,000","172,078,000","213,355,000","54,026,000","128,495,000","114,080,000","130,092,000","74,420,000","102,090,000","91,839,000","58,994,000","36,907,000","6,415,000","14,543,000"
NormalizedIncome,"163,876,200","179,885,180","276,539,000","279,425,600","112,447,610","50,485,000","145,584,000","115,162,470","89,365,800","82,701,800","117,474,000","112,847,950","172,555,100","215,024,200","158,894,400","128,495,000","114,080,000","130,092,000","74,420,000","102,090,000","91,839,000","59,675,000","37,239,400","6,415,000","14,543,000"
EBIT,"182,419,000","199,198,000","292,538,000","294,766,000","147,778,000","-43,851,000","22,039,000","192,538,000","164,513,000","181,157,000","-170,409,000","176,236,000","236,474,000","267,327,000","104,204,000","196,096,000","153,975,000","198,362,000","131,189,000","118,513,000","101,470,000","70,972,000","44,069,000","6,615,000","20,163,000"
EBITDA,"197,289,000","214,733,000","311,027,000","317,285,000","166,853,000","-34,653,000","36,971,000","214,227,000","187,927,000","212,923,000","-109,493,000","238,130,000","300,851,000","325,548,000","169,322,000","253,074,000","213,987,000","262,616,000","182,580,000","148,208,000","135,200,000","101,049,000","69,434,000","11,141,000","21,532,000"
ReconciledCostOfRevenue,,,"18,489,000","22,519,000","19,075,000","9,198,000","14,932,000","21,689,000","23,414,000","31,766,000","60,916,000","47,032,000","3,486,000","3,801,000","3,055,000","3,362,000","2,388,000","2,924,000","1,634,000","31,255,000","3,392,000","2,045,000","2,181,000","397,000",
ReconciledDepreciation,"14,870,000","15,535,000","18,489,000","22,519,000","19,075,000","9,198,000","14,932,000","21,689,000","23,414,000","28,581,000","57,295,000","58,586,000","64,377,000","58,221,000","65,118,000","56,978,000","60,012,000","64,254,000","51,391,000","29,695,000","33,730,000","30,077,000","24,483,000","4,526,000",
NetIncomeFromContinuingOperationNetMinorityInterest,"167,684,000","183,644,000","278,435,000","268,492,000","108,902,000","-84,819,000","-25,414,000","121,850,000","82,485,000","90,626,000","-260,171,000","96,713,000","172,078,000","213,355,000","54,026,000","128,495,000","114,080,000","130,092,000","74,420,000","102,090,000","91,839,000","58,994,000","36,907,000","6,415,000","14,543,000"
TotalUnusualItemsExcludingGoodwill,"4,820,000","4,758,000","2,400,000","-13,840,000","-4,857,000","-135,304,000","-170,998,000","9,161,000","-11,468,000","13,207,000","-377,645,000","-24,823,000","-734,000","-2,568,000","-161,336,000","0",,,,,,"-1,135,000","-554,000","216,000",
TotalUnusualItems,"4,820,000","4,758,000","2,400,000","-13,840,000","-4,857,000","-135,304,000","-170,998,000","9,161,000","-11,468,000","13,207,000","-377,645,000","-24,823,000","-734,000","-2,568,000","-161,336,000","0",,,,,,"-1,135,000","-554,000","216,000",
NormalizedEBITDA,"192,469,000","209,975,000","308,627,000","331,125,000","171,710,000","100,651,000","207,969,000","205,066,000","199,395,000","199,716,000","268,152,000","262,953,000","301,585,000","328,116,000","330,658,000","253,074,000","213,987,000","262,616,000","182,580,000","148,208,000","135,200,000","102,184,000","69,988,000","11,141,000","21,532,000"
TaxRateForCalcs,"0.21","0.21","0.21","0.21","0.27","0","0","0.27","0.4","0.4","0","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.4","0.4","0.4","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"1,012,200","999,180","504,000","-2,906,400","-1,311,390","0","0","2,473,470","-4,587,200","5,282,800","0","-8,688,050","-256,900","-898,800","-56,467,600","0","0","0","0","0","0","-454,000","-221,600","0","0"
